id,nome,cnpj_base
253,Bexs Corretora de Câmbio S.A.,52937216
254,Paraná Banco S.A.,14388334
259,Moneycorp Banco de Câmbio S.A.,08609934
260,Nu Pagamentos S.A.,18236120
265,Banco Fator S.A.,33644196
266,Banco Cédula S.A.,33132044
268,Bari Companhia Hipotecária,14511781
269,Banco HSBC S.A.,53518684
270,Sagitur Corretora de Câmbio Ltda,61444949
271,"IB Corretora de Câmbio, Títulos e Valores Mobiliários S.A.",27842177
272,AGK Corretora de Câmbio S.A.,00250699
273,Cooperativa de Crédito Rural de São Miguel do Oeste - Sulcredi/São Miguel,08253539
274,Money Plus Sociedade de Crédito ao Microempreendedor e a Empresa de Pequeno Porte,11581339
276,Senff S.A. - Crédito,11970623
278,Genial Investimentos Corretora de Valores Mobiliários S.A.,27652684
279,Cooperativa de Crédito Rural de Primavera do Leste,26563270
280,Avista S.A. Crédito,23862762
281,Cooperativa de Crédito Rural Coopavel,76461557
283,RB Capital Investimentos Distribuidora de Títulos e Valores Mobiliários Ltda,89960090
285,Frente Corretora de Câmbio Ltda,71677850
286,Cooperativa de Crédito Rural de Ouro Sulcredi/Ouro,07853842
288,Carol Distribuidora de Títulos e Valores Mobiliários Ltda,62237649
289,Decyseo Corretora de Câmbio Ltda,94968518
290,Pagseguro Internet S.A.,08561701
292,BS2 Distribuidora de Títulos e Valores Mobiliários S.A.,28650236
293,Lastro RDV Distribuidora de Títulos e Valores Mobiliários Ltda,71590442
296,Vision S.A. Corretora de Câmbio,04062902
298,Vip's Corretora de Câmbio Ltda,17772370
299,Sorocred Crédito,04814563
300,Banco de La Nacion Argentina,33042151
301,BPP Instituição de Pagamento S.A.,13370835
306,Portopar Distribuidora de Títulos e Valores Mobiliários Ltda,40303299
309,Câmbionet Corretora de Câmbio Ltda,14190547
310,Vortx Distribuidora de Títulos e Valores Mobiliários Ltda,22610500
313,Amazônia Corretora de Câmbio Ltda,16927221
315,Pi Distribuidora de Títulos e Valores Mobiliários S.A.,03502968
318,Banco BMG S.A.,61186680
319,OM Distribuidora de Títulos e Valores Mobiliários Ltda,11495073
320,China Construction Bank (Brasil) Banco Múltiplo S.A.,07450604
321,Crefaz Sociedade de Crédito ao Microempreendedor e a Empresa de Pequeno Porte Ltda,18188384
322,Cooperativa de Crédito Rural de Abelardo Luz - Sulcredi/Crediluz,01073966
323,MercadoPago.com Representações Ltda,10573521
324,Cartos Sociedade de Crédito Direto S.A.,21332862
325,Órama Distribuidora de Títulos e Valores Mobiliários S.A.,13293225
326,Parati - Crédito,03311443
