nome,codigo
FEBOM (Porto Ferreira/SP),538
Iluminação Pública (Porto Ferreira/SP),537
PBH Ativos (Belo Horizonte/MG),519
SETEC (Campinas/SP),484
Transalvador (Salvador/BA),582
TransCon (Contagem/MG),752
BHTrans (Belo Horizonte/MG),589
